index,s,x,y,yaw,center_on_road,left_road_extent,right_road_extent
0,0.000000046,-665.563452029,135.566143495,0.459548151,1,1.65149450302,3.01412525177
1,0.499999946,-665.115325546,135.787915076,0.45974984,1,1.65122690201,3.01331806183
2,0.999999946,-664.667243802,136.009777035,0.459956078,1,1.65092592239,3.01254587173
3,1.499999946,-664.219207824,136.2317314,0.460162326,1,1.65058927536,3.01181087494
4,1.999999946,-663.771217634,136.453778167,0.460372444,1,1.65021724701,3.01111297607
5,2.499999846,-663.32327411,136.675919059,0.460586852,1,1.64980783463,3.01045389175
6,2.999999846,-662.875378226,136.898155988,0.460803868,1,1.64935903549,3.00983581543
7,3.499999846,-662.427530582,137.120490113,0.46102291,1,1.6488697052,3.00925989151
8,3.999999846,-661.97973165,137.342922329,0.461245373,1,1.64833898544,3.00872707367
9,4.499999746,-661.531982213,137.565454159,0.461471525,1,1.64776525497,3.00823898315
10,4.999999746,-661.084283114,137.788087242,0.461699226,1,1.64714670181,3.00779733658
11,5.499999746,-660.636634721,138.01082226,0.461930933,1,1.64648275375,3.00740280151
12,5.999999746,-660.18903795,138.233660995,0.462166655,1,1.64577150345,3.00705728531
13,6.499999646,-659.74149372,138.456605232,0.462405868,1,1.64501104355,3.00676279068
14,6.999999646,-659.294002835,138.67965652,0.462646604,1,1.64419975281,3.00652084351
15,7.499999646,-658.84656566,138.902815529,0.462893338,1,1.64333696365,3.00633230209
16,7.999999546,-658.39918356,139.126084929,0.463142443,1,1.64241981506,3.00619983673
17,8.499999546,-657.951857092,139.349465766,0.463394529,1,1.64144716263,3.00612468719
18,8.999999546,-657.504586951,139.572959361,0.463649959,1,1.64041776657,3.00610818863
19,9.499999446,-657.057373913,139.796567194,0.463910719,1,1.63933000565,3.00615196228
20,9.999999446,-656.610219198,140.020291634,0.464172267,1,1.63818130493,3.0062584877
21,10.499999446,-656.163123014,140.244133019,0.46443869,1,1.63697147369,3.00642824173
22,10.999999346,-655.716086483,140.468093512,0.464709761,1,1.63569803238,3.00666341782
23,11.499999346,-655.26911068,140.692175175,0.464984643,1,1.6343588829,3.00696630478
24,11.999999246,-654.82219649,140.916379695,0.46526117,1,1.63295221329,3.0073387146
25,12.499999246,-654.375344316,141.140707789,0.46554392,1,1.63147735596,3.00778141022
26,12.999999246,-653.92855559,141.365162221,0.465831053,1,1.62993125916,3.00829734802
27,13.499999146,-653.481831332,141.589744932,0.466118657,1,1.6283118248,3.00888872147
28,13.999999146,-653.035171684,141.814456111,0.466411342,1,1.62661895752,3.00955553055
29,14.499999046,-652.588577826,142.039298012,0.466708202,1,1.62485027313,3.01030035019
30,14.999999046,-652.142050735,142.264272478,0.467008508,1,1.62300367355,3.01112508774
31,15.499998946,-651.695591226,142.489381028,0.467311254,1,1.62107772827,3.01203145981
32,15.999998946,-651.24919989,142.714624731,0.467619896,1,1.61907129288,3.01302051544
33,16.499998846,-650.802878096,142.940006198,0.467928842,1,1.61698141098,3.01409511566
34,16.999998846,-650.356625954,143.165525543,0.468244408,1,1.61480817795,3.0152554512
35,17.499998746,-649.910445002,143.391185699,0.468562419,1,1.61254825592,3.01650457382
36,17.999998746,-649.464335836,143.616987733,0.468880308,1,1.61020069122,3.0178437233
37,18.499998646,-649.018298473,143.842931569,0.469204123,1,1.60776557922,3.01927270889
38,18.999998646,-648.572334299,144.069019825,0.469531092,1,1.6052400589,3.02079429626
39,19.499998546,-648.126444073,144.295253886,0.469857572,1,1.60262269974,3.02241020203
40,19.999998546,-647.680627732,144.521633509,0.470186131,1,1.59991378784,3.02411985397
41,20.499998446,-647.234885795,144.748159596,0.470522045,1,1.59711256027,3.02592439651
42,20.999998346,-646.789219977,144.9748354,0.470853384,1,1.59421520233,3.02782716751
43,21.499998346,-646.343629291,145.201658859,0.471188767,1,1.59122438431,3.02982606888
44,21.999998246,-645.898114703,145.428631747,0.471524058,1,1.58813791275,3.03192281723
45,22.499998246,-645.452676242,145.655754001,0.471861839,1,1.58495616913,3.0341173172
46,22.999998146,-645.007314523,145.883026702,0.472197777,1,1.58167791367,3.0364107132
47,23.499998046,-644.562029181,146.110449004,0.472535048,1,1.57830429077,3.03880205154
48,23.999998046,-644.116820566,146.338021475,0.472869086,1,1.57483453751,3.04129180908
49,24.499997946,-643.671687993,146.56574265,0.473205669,1,1.57127046585,3.0438782692
50,24.999997946,-643.226632092,146.793613636,0.473538533,1,1.56761102676,3.04656267166
51,25.499997846,-642.781652065,147.021632754,0.473869546,1,1.56385803223,3.04934301376
52,25.999997746,-642.33674754,147.249799153,0.474197059,1,1.56001253128,3.05221815109
53,26.499997746,-641.891917765,147.478111252,0.474521829,1,1.55607643127,3.05518636703
54,26.999997646,-641.44716216,147.706567808,0.474842212,1,1.55205116272,3.05824613571
55,27.499997646,-641.00247977,147.935166845,0.475156566,1,1.54793901443,3.06139507294
56,27.999997546,-640.557869262,148.163905659,0.475467536,1,1.54374313354,3.06463022232
57,28.499997546,-640.113329906,148.392782722,0.475770538,1,1.53946523666,3.06794958115
58,28.999997446,-639.668859918,148.621794473,0.476068733,1,1.53510961533,3.07134914398
59,29.499997446,-639.224458238,148.850938753,0.476355894,1,1.53067846298,3.07482633591
60,29.999997346,-638.780122374,149.08021064,0.476636975,1,1.52617759705,3.07837553024
61,30.499997346,-638.33585097,149.309607414,0.476905821,1,1.52161006927,3.08199357986
62,30.999997346,-637.891641253,149.539123621,0.477166535,1,1.51698217392,3.08567419052
63,31.499997246,-637.447491385,149.768755633,0.477413325,1,1.51229801178,3.08941316605
64,31.999997246,-637.0033982,149.998497252,0.477650938,1,1.50756464005,3.09320354462
65,32.499997246,-636.559359613,150.228344388,0.477873138,1,1.50278673172,3.09704046249
66,32.999997246,-636.115372106,150.458290185,0.478080439,1,1.49797210693,3.10091609955
67,33.499997146,-635.671432275,150.688328018,0.478272413,1,1.49312839508,3.10482292175
68,33.999997146,-635.227536609,150.918451073,0.478448877,1,1.48826313019,3.10875310898
69,34.499997146,-634.783681557,151.148652458,0.47860601,1,1.48338441849,3.11269884109
70,34.999997146,-634.339862679,151.378923585,0.478744392,1,1.47850179672,3.11665019989
71,35.499997146,-633.896075668,151.609256128,0.478863558,1,1.473624897,3.12059774399
72,35.999997146,-633.452316106,151.839641554,0.478961557,1,1.46876335144,3.12453174591
73,36.499997146,-633.008579122,152.070070469,0.479037606,1,1.46392793655,3.12844152451
74,36.999997146,-632.564859662,152.30053313,0.479090709,1,1.45912971497,3.13231601715
75,37.499997146,-632.121152439,152.531019353,0.479119062,1,1.45438013077,3.13614358902
76,37.999997146,-631.67745175,152.761518158,0.479121531,1,1.44969177246,3.13991174698
77,38.499997146,-631.233751631,152.992018058,0.479098235,1,1.44507780075,3.14360752106
78,38.999997146,-630.790046143,153.222507621,0.479048175,1,1.44055109024,3.14721803665
79,39.499997146,-630.346329118,153.452974971,0.478969536,1,1.43612508774,3.15072965622
80,39.999997146,-629.902593972,153.683407425,0.478861543,1,1.43181438446,3.15412817001
81,40.499997046,-629.458833948,153.913791957,0.478722646,1,1.42763376236,3.15739879608
82,40.999997046,-629.015041932,154.144114848,0.478554671,1,1.42359867096,3.16052618027
83,41.499997046,-628.571211238,154.374363187,0.47835337,1,1.41972398758,3.16349554062
84,41.999997046,-628.127334211,154.604522174,0.478120039,1,1.41602640152,3.1662902832
85,42.499997046,-627.683403499,154.834577581,0.477853565,1,1.41252212524,3.16889457703
86,42.999996946,-627.239411507,155.06451468,0.477551596,1,1.40922784805,3.17129163742
87,43.499996946,-626.795350113,155.294317691,0.477214999,1,1.40616159439,3.17346391678
88,43.999996846,-626.351211403,155.523971214,0.476845139,1,1.4033408165,3.17539415359
89,44.499996746,-625.906987796,155.753460446,0.476437837,1,1.40078229904,3.17706565857
90,44.999996646,-625.462670768,155.982768718,0.475991793,1,1.39850492477,3.17845993042
91,45.499996546,-625.018251518,156.211878775,0.475510856,1,1.39652833939,3.17955770493
92,45.999996446,-624.57372215,156.440775059,0.474991266,1,1.39487009048,3.18034162521
93,46.499996246,-624.129073929,156.669440328,0.474435315,1,1.39354982376,3.1807926178
94,46.999996046,-623.684298668,156.897858351,0.473837822,1,1.39258594513,3.1808924675
95,47.499995946,-623.239387029,157.126010572,0.473203242,1,1.39199943542,3.18062067032
96,47.999995646,-622.794330723,157.353880402,0.47252681,1,1.39180908203,3.17995901108
97,48.499995446,-622.349120409,157.581449115,0.471813946,1,1.39203596115,3.17888660431
98,48.999995146,-621.903748009,157.808700384,0.471053976,1,1.39269866943,3.1773856163
99,49.499994846,-621.45820306,158.035613103,0.470260491,1,1.39382104874,3.17543258667
100,49.999994446,-621.012478228,158.262172202,0.469424091,1,1.39542007446,3.17301120758
101,50.499994046,-620.56656409,158.488358403,0.468542051,1,1.39751749039,3.1701002121
102,50.999993646,-620.120450662,158.71415118,0.467620145,1,1.40013647079,3.16667709351
103,51.499993146,-619.674129296,158.939532569,0.466661502,1,1.40329713821,3.16272211075
104,51.999992646,-619.227592111,159.164485975,0.46565519,1,1.40701847076,3.15821743011
105,52.499992146,-618.780828815,159.388989893,0.464600944,1,1.41132450104,3.15313978195
106,52.999991546,-618.333829131,159.613022664,0.463511438,1,1.41623945236,3.14746494293
107,53.499990846,-617.886585683,159.836568266,0.462377067,1,1.42178144455,3.14117603302
108,53.999990146,-617.439088981,160.059606364,0.461196402,1,1.42797346115,3.13425102234
109,54.499989446,-616.991329301,160.282115941,0.459976857,1,1.43483886719,3.12666692734
110,54.999988546,-616.543298636,160.504079269,0.45871517,1,1.44239749908,3.11840467453
111,55.499987746,-616.094988339,160.725477116,0.457401118,1,1.45067129135,3.10944423676
112,55.999986746,-615.646387571,160.946285634,0.456049529,1,1.4596865654,3.0997590065
113,56.499985746,-615.197488817,161.166487605,0.454645611,1,1.46946296692,3.08933143616
114,56.999984746,-614.748281422,161.386059112,0.45319749,1,1.48002700806,3.07813539505
115,57.499983546,-614.298756582,161.604979857,0.451706933,1,1.49140129089,3.0661488533
116,57.999982346,-613.848905989,161.823230288,0.450167508,1,1.50360803604,3.05335168839
117,58.499981046,-613.398720042,162.040787903,0.448580735,1,1.51667222977,3.03971967697
118,58.999979746,-612.9481895,162.257630878,0.446950244,1,1.5306180954,3.02522907257
119,59.499978246,-612.497306072,162.473738941,0.445273952,1,1.54546842575,3.00985879898
120,59.999976746,-612.04606108,162.68909086,0.443542182,1,1.56124734879,2.99358711243
121,60.499975146,-611.59444391,162.903660963,0.441774503,1,1.57798252106,2.97638473511
122,60.999973446,-611.142448255,163.117432369,0.43995535,1,1.59569368362,2.95823545456
123,61.499971646,-610.690064532,163.330381142,0.438100565,1,1.61440649033,2.93911218643
124,61.999969846,-610.23728668,163.542490443,0.436183176,1,1.63414163589,2.91900053024
125,62.499967846,-609.784103043,163.753731166,0.434225048,1,1.65493011475,2.89786663055
126,62.999965846,-609.330506748,163.964084043,0.432218733,1,1.67679395676,2.87569141388
127,63.499963646,-608.876489443,164.173526389,0.430162283,1,1.6997587204,2.85245113373
128,63.999961346,-608.422042471,164.382034592,0.428040712,1,1.72412986755,2.82738332748
129,64.499958946,-607.96715425,164.589578143,0.425895512,1,1.75007982254,2.80005989075
130,64.999956446,-607.511821934,164.796145354,0.423689344,1,1.77493419647,2.77387456894
131,65.499953846,-607.056035133,165.001707465,0.421441789,1,1.79872264862,2.74879150391
132,65.999951146,-606.599787576,165.206244606,0.419146681,1,1.82146720886,2.7247885704
133,66.499948346,-606.143071868,165.409734035,0.416798341,1,1.84319295883,2.70184049606
134,66.999945346,-605.685879703,165.612150315,0.414386436,1,1.86392784119,2.67991962433
135,67.499942246,-605.228200764,165.813463258,0.411945289,1,1.8837015152,2.65898809433
136,67.999939046,-604.770031883,166.013658285,0.409429263,1,1.90253257751,2.63903465271
137,68.499935646,-604.311360906,166.212699849,0.406874973,1,1.92045621872,2.62001571655
138,68.999932146,-603.852183091,166.410569155,0.404282488,1,1.93749217987,2.60191078186
139,69.499928546,-603.392493968,166.607247333,0.401635388,1,1.95366106033,2.58470058441
140,69.999924846,-602.932285963,166.802707923,0.398929451,1,1.96899051666,2.56835680008
141,70.499920946,-602.471550875,166.996922449,0.396203011,1,1.98350820541,2.55284519196
142,70.999916846,-602.010288134,167.189880025,0.393408737,1,1.99722728729,2.53815803528
