index,s,x,y,yaw,center_on_road,left_road_extent,right_road_extent
0,0,929.6864,-1674.9056,2.419788622,1,5.25710792542,1.75034170151
1,0.499968519,929.311116152,-1674.57525086,2.524045815,1,5.28832769394,1.75449762344
2,0.999946375,928.903483517,-1674.28574526,2.521015718,1,5.22711629868,1.77572889328
3,1.498678565,928.497743384,-1673.99573019,2.571361606,1,5.2293510437,1.77347259521
4,1.997411637,928.077921718,-1673.72650084,2.619910763,1,5.22992362976,1.77456350327
5,2.496184768,927.645494264,-1673.47794273,2.664294638,1,5.22695827484,1.77581939697
6,2.99507929,927.202356492,-1673.24876014,2.705362151,1,5.22838306427,1.77201356888
7,3.494240291,926.749941514,-1673.03785164,2.739725079,1,5.23350315094,1.76687164307
8,3.993758896,926.290218497,-1672.84247103,2.767176123,1,5.23718109131,1.76283864975
9,4.49347691,925.825120361,-1672.65970939,2.78920853,1,5.24134902954,1.75894327164
10,4.993282862,925.356026219,-1672.48720816,2.806639764,1,5.24108304977,1.75911121368
11,5.493153336,924.883935649,-1672.3228884,2.820139871,1,5.24206905365,1.7579460144
12,5.993055808,924.409639471,-1672.16494658,2.831723136,1,5.24483413696,1.75516881943
13,6.493007956,923.933498361,-1672.01249398,2.840034223,1,5.24641399384,1.75358705521
14,6.992987162,923.456080826,-1671.86399582,2.845282091,1,5.24765625,1.75234975815
15,7.492976603,922.977880781,-1671.71800213,2.849481795,1,5.24827022552,1.75173015594
16,7.992970555,922.499067504,-1671.57401672,2.851255409,1,5.24874095917,1.751263237
17,8.492967721,922.019996527,-1671.43087985,2.852216266,1,5.24913015366,1.75090618134
18,8.992966524,921.540786668,-1671.28820289,2.852020004,1,5.25100135803,1.74899978638
19,9.492964979,921.061605154,-1671.14543198,2.850242043,1,5.25067052841,1.74934158325
20,9.992960106,920.582681426,-1671.0018103,2.846328801,1,5.25127096176,1.74879951477
21,10.492950858,920.104327576,-1670.85631684,2.842323063,1,5.2527970314,1.74726638794
22,10.992935671,919.626566045,-1670.70891015,2.837812668,1,5.25318498611,1.74682569504
23,11.492920464,919.149474253,-1670.55935007,2.833490915,1,5.25244369507,1.7475564003
24,11.992911764,918.673027076,-1670.40772756,2.827447606,1,5.25139760971,1.74863624573
25,12.492893984,918.197513531,-1670.25323131,2.820108149,1,5.2521727562,1.74800748825
26,12.992854406,917.723167383,-1670.09525614,2.812181239,1,5.25606002808,1.74429311752
27,13.492796561,917.250105665,-1669.93353178,2.803924035,1,5.25626716614,1.74373893738
28,13.992739245,916.77839495,-1669.76790663,2.795804443,1,5.25415420532,1.74585180283
29,14.492712908,916.308015433,-1669.59844639,2.789841874,1,5.25210723877,1.74789457321
30,14.992704091,915.838638242,-1669.42617847,2.78506549,1,5.25093040466,1.74907722473
31,15.492696327,915.370088234,-1669.25167023,2.780005064,1,5.25204048157,1.74806528091
32,15.992679294,914.902435976,-1669.07479646,2.774131778,1,5.2536031723,1.74651699066
33,16.492649571,914.435842452,-1668.89518365,2.767340507,1,5.25437917709,1.7456744194
34,16.992617942,913.970481252,-1668.71240694,2.76099139,1,5.2539056778,1.74609661102
35,17.492596023,913.506280879,-1668.52667569,2.755813791,1,5.25249242783,1.74750747681
36,17.992585729,913.043037595,-1668.33853913,2.751257253,1,5.2512087822,1.74879541397
37,18.492579049,912.580653026,-1668.14829237,2.746888228,1,5.25132703781,1.74877290726
38,18.992568473,912.119107657,-1667.95602876,2.741830077,1,5.2528169632,1.7472782135
39,19.492548415,911.658549421,-1667.76143674,2.736536236,1,5.25370607376,1.74632749557
40,19.99252561,911.199030299,-1667.56441042,2.731285634,1,5.25350074768,1.74649991989
41,20.492510369,910.740545075,-1667.36497106,2.726736793,1,5.25188856125,1.74811143875
42,20.992502857,910.282964736,-1667.16344507,2.722471433,1,5.25096759796,1.74904088974
43,21.492497405,909.826246257,-1666.95996835,2.718041553,1,5.25159864426,1.74847774506
44,21.992484171,909.370440728,-1666.75447361,2.713427668,1,5.25305118561,1.74704284668
45,22.492465364,908.915593245,-1666.54688035,2.708524272,1,5.25379257202,1.74622869492
46,22.992447529,908.461768257,-1666.33705889,2.704277488,1,5.25237789154,1.74762449265
47,23.492438027,908.008830876,-1666.1253085,2.698984264,1,5.25115470886,1.74884538651
48,23.992428703,907.557020516,-1665.91116352,2.694254474,1,5.25130195618,1.74880485535
49,24.492413319,907.10623353,-1665.69488659,2.689322667,1,5.25391550064,1.74617042542
50,24.992392242,906.656523779,-1665.47639159,2.6840212,1,5.25351362228,1.74649248123
51,25.492368972,906.207980654,-1665.25551653,2.678133274,1,5.25259542465,1.74741077423
52,25.992356992,905.760735694,-1665.03199926,2.673518585,1,5.25212097168,1.74788122177
53,26.492347663,905.314524588,-1664.8064193,2.669005864,1,5.25167913437,1.74835824966
54,26.992337652,904.86933661,-1664.57882832,2.665025155,1,5.25230960846,1.74774923325
55,27.492328226,904.42505761,-1664.34946672,2.661605868,1,5.25245094299,1.74755029678
56,27.992320009,903.981564386,-1664.11858679,2.658205889,1,5.25145511627,1.74854478836
57,28.492314884,903.538855972,-1663.88619889,2.654795406,1,5.25100154877,1.74901571274
58,28.9923108,903.096941767,-1663.65230201,2.651475406,1,5.25137176514,1.7486661911
59,29.492303487,902.655809383,-1663.41694078,2.647681318,1,5.25222616196,1.74780426025
60,29.992292751,902.215576167,-1663.17990918,2.643359631,1,5.25259027481,1.74743032455
61,30.492280163,901.776373062,-1662.94097814,2.638587775,1,5.25241250992,1.74759607315
62,30.99226832,901.338314445,-1662.69995365,2.633984728,1,5.25223875046,1.74777908325
63,31.492257998,900.901368582,-1662.45691457,2.630009829,1,5.25220413208,1.74780454636
64,31.992249975,900.465390221,-1662.21213948,2.626837691,1,5.25189208984,1.74810791016
65,32.492245053,900.030187812,-1661.96598111,2.623891439,1,5.25113391876,1.74886598587
66,32.992241889,899.595711008,-1661.71854073,2.621464012,1,5.25076169968,1.74924488068
67,33.492239517,899.16183544,-1661.47004603,2.619139595,1,5.25127658844,1.74874353409
68,33.992236274,898.728539403,-1661.22054392,2.616575654,1,5.25126171112,1.7487443924
69,34.492231566,898.295885767,-1660.96993242,2.61400166,1,5.25159358978,1.74841146469
70,34.992227779,897.863877839,-1660.71820764,2.611720622,1,5.25147094727,1.74853048325
71,35.49222477,897.432444558,-1660.4654977,2.610052503,1,5.25074691772,1.74925317764
72,35.992223632,897.001431814,-1660.21206748,2.609422371,1,5.25049934387,1.74950342178
73,36.492223302,896.570578154,-1659.9583653,2.609357583,1,5.24968214035,1.75032691956
74,36.992222971,896.139740932,-1659.70463522,2.608938373,1,5.24943189621,1.75057153702
75,37.492222467,895.709010263,-1659.45072463,2.608212778,1,5.25028324127,1.74973917007
76,37.992220893,895.278464866,-1659.19650211,2.606935702,1,5.25116586685,1.74885034561
77,38.492218157,894.848245481,-1658.94173056,2.605533273,1,5.25140476227,1.74859571457
78,38.992215906,894.4183834,-1658.68635566,2.604770934,1,5.25073413849,1.74928684235
79,39.492214764,893.988715174,-1658.43065256,2.604037059,1,5.24958724976,1.75042419434
80,39.992214093,893.559234313,-1658.17463397,2.603206454,1,5.24937477112,1.75064640045
81,40.492212746,893.129966831,-1657.91825909,2.602124527,1,5.25087718964,1.74916038513
82,40.992209855,892.700978304,-1657.66142071,2.600522072,1,5.25166597366,1.74834213257
83,41.492205674,892.272403005,-1657.40389589,2.598245503,1,5.25141010284,1.74859075546
84,41.992202737,891.844414024,-1657.14539541,2.596209921,1,5.25081624985,1.74918413162
85,42.49220128,891.416950864,-1656.8860235,2.594370292,1,5.25051145554,1.74949131012
86,42.992199982,890.989965439,-1656.62586557,2.592359301,1,5.25073080063,1.74928445816
87,43.49219729,890.563505241,-1656.36485023,2.589866357,1,5.25136184692,1.7486574173
88,43.992192147,890.137699151,-1656.10277385,2.586739256,1,5.25181016922,1.74820775986
89,44.492184853,889.712716509,-1655.83936834,2.583313553,1,5.25196676254,1.74805135727
90,44.992177648,889.288638634,-1655.57450847,2.580135072,1,5.25186357498,1.74813661575
91,45.492172251,888.86540322,-1655.30830106,2.57773152,1,5.25135946274,1.74864044189
92,45.992169442,888.442806685,-1655.04107576,2.575882672,1,5.25073976517,1.74926052094
93,46.492168438,888.020703406,-1654.77306864,2.5743478,1,5.25024309158,1.74975681305
94,46.992167596,887.599011844,-1654.50441387,2.572595902,1,5.25058832169,1.74943218231
95,47.492165334,887.177792782,-1654.23502151,2.570293796,1,5.2512254715,1.74879703522
96,47.992160238,886.757197388,-1653.96466172,2.567382656,1,5.25181875229,1.7482172966
97,48.492153467,886.337392238,-1653.69307957,2.564457838,1,5.25197353363,1.74803171158
98,48.992147659,885.918382403,-1653.4202702,2.562002558,1,5.251425457,1.74857435226
99,49.492144459,885.500041472,-1653.14643144,2.560366709,1,5.25066232681,1.74934616089
100,49.992143536,885.082147156,-1652.87190746,2.559298108,1,5.25010223389,1.74989900589
101,50.492143212,884.664545935,-1652.59693674,2.557856444,1,5.25006008148,1.74995336533
102,50.992141656,884.247342591,-1652.32136495,2.555629353,1,5.25092954636,1.74911603928
103,51.492136483,883.830757019,-1652.04486669,2.552813407,1,5.2520986557,1.74792709351
104,51.992128378,883.414954139,-1651.76719807,2.549483566,1,5.25231342316,1.74769487381
105,52.492120402,883.000078049,-1651.48814637,2.546285079,1,5.25163650513,1.74836416245
