index,s,x,y,yaw,center_on_road,left_road_extent,right_road_extent
0,0,929.6864,-1674.9056,2.498717668,1,5.2973279953,1.75773916245
1,0.498465561,929.287440369,-1674.6067704,2.514319235,1,5.24109134674,1.79288883209
2,0.996581975,928.884149951,-1674.31440625,2.542394048,1,5.20104942322,1.81130371094
3,1.494224118,928.473203115,-1674.0337456,2.578281594,1,5.18585672379,1.81901779175
4,1.991520471,928.052743186,-1673.76819501,2.6175658,1,5.18056020737,1.82318334579
5,2.488734298,927.622249843,-1673.51940379,2.656874311,1,5.17787628174,1.82317218781
6,2.986138331,927.182143659,-1673.28763383,2.693839115,1,5.18432044983,1.81576452255
7,3.483934873,926.733418922,-1673.07211698,2.7269159,1,5.19523639679,1.80483055115
8,3.982216901,926.27736799,-1672.87136209,2.755321454,1,5.2059422493,1.79450597763
9,4.480971713,925.815361296,-1672.68346271,2.778940827,1,5.21546192169,1.78454351425
10,4.980119496,925.348678402,-1672.50638763,2.798113515,1,5.220403862,1.77960767746
11,5.479560028,924.878410833,-1672.33819352,2.813380011,1,5.22586698532,1.77423000336
12,5.979204188,924.405437672,-1672.17713242,2.825295418,1,5.23203048706,1.7680814743
13,6.478985022,923.930449129,-1672.02167579,2.834346814,1,5.23681631088,1.76328258514
14,6.978855739,923.453987289,-1671.87049759,2.840945303,1,5.24084625244,1.75918626785
15,7.478783862,922.976483451,-1671.72244958,2.845439772,1,5.2436624527,1.75640821457
16,7.978746568,922.498285962,-1671.5765391,2.848119171,1,5.24610795975,1.75390634537
17,8.478727901,922.019681407,-1671.43190503,2.849208562,1,5.24813756943,1.75200233459
18,8.978716882,921.54091225,-1671.28779023,2.848881931,1,5.25146484375,1.74858093262
19,9.478706079,921.062189985,-1671.14351899,2.847295058,1,5.25272245407,1.74735851288
20,9.978690667,920.583701672,-1670.9984896,2.84461026,1,5.25479307175,1.74534168243
21,10.478667739,920.105611645,-1670.8521783,2.840984512,1,5.25716304779,1.74294528961
22,10.978635369,919.628064267,-1670.70413732,2.836532259,1,5.25820264816,1.74182882309
23,11.47859155,919.151191656,-1670.55397509,2.831310969,1,5.25809574127,1.74191703796
24,11.978533978,918.675122677,-1670.40132922,2.825363549,1,5.25817584991,1.74191865921
25,12.478461439,918.199984187,-1670.24585935,2.818796229,1,5.2600022316,1.74025039673
26,12.978376028,917.725889164,-1670.08727655,2.811829279,1,5.26450719833,1.73586950302
27,13.478284074,917.252916667,-1669.92539674,2.804769881,1,5.26487035751,1.73513050079
28,13.978194142,916.78109681,-1669.76018143,2.797910868,1,5.26236190796,1.73767728806
29,14.478112976,916.310413005,-1669.59173086,2.791416396,1,5.25924892426,1.74076852798
30,14.978042388,915.840823179,-1669.42022339,2.785274852,1,5.25727233887,1.74273347855
31,15.477979506,915.372288301,-1669.24583247,2.779357413,1,5.25829772949,1.74183387756
32,15.977919972,914.904790437,-1669.06867092,2.773539978,1,5.26018342972,1.73996143341
33,16.477861366,914.438330239,-1668.8887924,2.767794082,1,5.26122941971,1.73881282806
34,16.97780431,913.972909854,-1668.70623607,2.762181816,1,5.26053571701,1.73946456909
35,17.477750885,913.508517977,-1668.52106922,2.756775808,1,5.25853147507,1.74147224426
36,17.977702209,913.045129492,-1668.3333928,2.751585682,1,5.25676603317,1.74324111938
37,18.477657422,912.582717711,-1668.1433124,2.746553031,1,5.25672740936,1.74338512421
38,18.977614631,912.121266549,-1667.95090649,2.741605555,1,5.25838165283,1.74172172546
39,19.477572548,911.6607723,-1667.75621965,2.736710513,1,5.25937433243,1.74065551758
40,19.977531228,911.201235865,-1667.55928071,2.731880507,1,5.2590839386,1.74091596603
41,20.477491412,910.742654623,-1667.36012391,2.727137284,1,5.25717563629,1.74282541275
42,20.97745338,910.285021548,-1667.15879349,2.722475227,1,5.25605354309,1.74395484924
43,21.477416484,909.828331018,-1666.95533129,2.717855642,1,5.25668745041,1.74339513779
44,21.977379629,909.372585233,-1666.74976153,2.713227164,1,5.25823364258,1.74186754227
45,22.477341987,908.917796516,-1666.5420849,2.708547164,1,5.25906963348,1.74095115662
46,22.977303201,908.463985741,-1666.33228262,2.703788596,1,5.25764217377,1.74235811234
47,23.477263081,908.011179668,-1666.1203238,2.698937207,1,5.25666503906,1.74333496094
48,23.977221381,907.559408642,-1665.90617143,2.693992857,1,5.25684366226,1.74327344894
49,24.47717808,907.10870342,-1665.68978865,2.688981176,1,5.25958862305,1.74050922394
50,24.977133921,906.659089067,-1665.47115019,2.683966816,1,5.2593495369,1.74065713882
51,25.477090559,906.210575979,-1665.25025961,2.679050954,1,5.25845394135,1.74154663086
52,25.977050028,905.763151641,-1665.02716561,2.674344099,1,5.25752305984,1.74247684479
53,26.477013865,905.316778425,-1664.80196616,2.669925659,1,5.25665645599,1.74336271286
54,26.976982548,904.871400277,-1664.57479444,2.665813564,1,5.2568236351,1.74321346283
55,27.476955509,904.426956241,-1664.34579126,2.661958546,1,5.25658931732,1.74341392517
56,27.976931474,903.983395652,-1664.11507505,2.658260274,1,5.25541563034,1.74458427429
57,28.4769088,903.540690141,-1663.88271938,2.654595133,1,5.25493736267,1.74508314133
58,28.976885773,903.098839529,-1663.64874286,2.650849733,1,5.25541744232,1.74463663101
59,29.476861025,902.657869867,-1663.4131139,2.646957302,1,5.25658483505,1.74346227646
60,29.976834055,902.217822669,-1663.17577133,2.642927442,1,5.25730447769,1.74272403717
61,30.476805568,901.778736831,-1662.93665809,2.638851713,1,5.25733509064,1.74267091751
62,30.976777292,901.340629013,-1662.69575715,2.634873526,1,5.2570230484,1.74298362732
63,31.476751247,900.903481058,-1662.45311416,2.631132532,1,5.25654630661,1.74345445633
64,31.976728868,900.467240687,-1662.20883571,2.627712802,1,5.25567998886,1.74432163239
65,32.476710529,900.031834713,-1661.96306488,2.624622685,1,5.25448436737,1.74551734924
66,32.976695657,899.597187264,-1661.71594806,2.621814458,1,5.25374298096,1.74626064301
67,33.476683267,899.163233333,-1661.4676104,2.619230184,1,5.25408372879,1.74593486786
68,33.976672555,898.729921169,-1661.21815127,2.616847942,1,5.25402288437,1.74598083496
69,34.47666323,898.297203305,-1660.9676599,2.614701744,1,5.25421733856,1.74578351974
70,34.976655463,897.865022696,-1660.71623963,2.612860339,1,5.25375127792,1.7462553978
71,35.476649514,897.433304216,-1660.46402304,2.611374306,1,5.25245656967,1.74754724503
72,35.97664535,897.001959474,-1660.21116429,2.610225291,1,5.25155086517,1.74845924377
73,36.476642537,896.57090439,-1659.95780939,2.609315044,1,5.25032634735,1.74968223572
74,36.976640418,896.140079503,-1659.70406189,2.608505451,1,5.25010061264,1.74990663528
75,37.476638398,895.709460104,-1659.44996562,2.607682024,1,5.25117330551,1.74885950089
76,37.976636142,895.279050284,-1659.19551497,2.606794853,1,5.25231513977,1.74770326614
77,38.476633603,894.848866618,-1658.94068273,2.605849973,1,5.25262241364,1.747377491
78,38.976630881,894.418924086,-1658.68544421,2.604864044,1,5.25179519653,1.74822750092
79,39.476628004,893.989233545,-1658.42978201,2.603821965,1,5.250598526,1.74941034317
80,39.976624797,893.55980994,-1658.17367235,2.602669648,1,5.25050325394,1.74952821732
81,40.476620956,893.130682284,-1657.91706834,2.601342557,1,5.25228090286,1.74777641296
82,40.976616229,892.701896303,-1657.65989553,2.599802036,1,5.25345306396,1.74656438828
83,41.47661055,892.273507826,-1657.40206296,2.598047901,1,5.25354986191,1.74645042419
84,41.976603963,891.845573057,-1657.14347981,2.596098827,1,5.25305547714,1.7469452858
85,42.476596401,891.418143933,-1656.88406358,2.593962598,1,5.25280828476,1.74719762802
86,42.976587539,890.991271065,-1656.62373553,2.591629062,1,5.25323867798,1.74678926468
87,43.476576982,890.56500829,-1656.36241295,2.589097449,1,5.25423612595,1.74579772949
88,43.976564691,890.139409924,-1656.10001299,2.586414867,1,5.25506210327,1.74496126175
89,44.476551313,889.71451792,-1655.83647285,2.583687481,1,5.2553730011,1.74463977814
90,44.97653806,889.290346167,-1655.57177477,2.581045547,1,5.25508747101,1.7449136734
91,45.476526106,888.866874106,-1655.3059563,2.57858095,1,5.25412921906,1.74587316513
92,45.976515949,888.444056948,-1655.03909399,2.576299721,1,5.25308418274,1.74691772461
93,46.476507177,888.021848494,-1654.77126709,2.574123893,1,5.25237808228,1.74762229919
94,46.976498793,887.600223457,-1654.50252196,2.57194442,1,5.25284414291,1.74718875885
95,47.476489855,887.17918561,-1654.23285885,2.569692611,1,5.2538066864,1.74622764587
