s,x,y,z,yaw,curvature,left_offset,right_offset,target_velocity,target_acceleration
0.000000000,-187.736495237,2.650000000,0.309955232,-0.000000056,0.000000000,1.800000000,1.800000000,0.000000000,0.000000000
0.500000000,-187.236495237,2.649999972,0.287423568,0.000002744,0.000005600,1.800000000,1.800000000,0.894427191,0.800000000
1.000000000,-186.736495237,2.650001344,0.291674759,0.000002990,0.000000491,1.800000000,1.800000000,1.264911064,0.800000000
1.500000000,-186.236495237,2.650002839,0.287059877,0.000004742,0.000003504,1.800000000,1.800000000,1.549193338,0.800000000
2.000000000,-185.736495237,2.650005210,0.286954728,0.000006684,0.000003884,1.800000000,1.800000000,1.788854382,0.800000000
2.500000000,-185.236495237,2.650008552,0.286907888,0.000008627,0.000003885,1.800000000,1.800000000,2.000000000,0.800000000
3.000000000,-184.736495237,2.650012865,0.286906288,0.000010720,0.000004187,1.800000000,1.800000000,2.190890230,0.800000000
3.500000000,-184.236495237,2.650018225,0.287060272,0.000012771,0.000004102,1.800000000,1.800000000,2.366431913,0.800000000
4.000000000,-183.736495237,2.650024611,0.287352387,0.000014764,0.000003986,1.800000000,1.800000000,2.529822128,0.800000000
4.500000000,-183.236495237,2.650031993,0.287630989,0.000016705,0.000003882,1.800000000,1.800000000,2.683281573,0.800000000
5.000000000,-182.736495237,2.650040346,0.287845127,0.000018569,0.000003729,1.800000000,1.800000000,2.828427125,0.800000000
5.500000000,-182.236495238,2.650049630,0.287991986,0.000020340,0.000003542,1.800000000,1.800000000,2.966479395,0.800000000
6.000000000,-181.736495238,2.650059800,0.287925523,0.000022023,0.000003366,1.800000000,1.800000000,3.098386677,0.800000000
6.500000000,-181.236495238,2.650070812,0.287651229,0.000023588,0.000003129,1.800000000,1.800000000,3.224903099,0.800000000
7.000000000,-180.736495238,2.650082606,0.287328323,0.000025054,0.000002934,1.800000000,1.800000000,3.346640106,0.800000000
7.500000000,-180.236495238,2.650095133,0.287021029,0.000026425,0.000002741,1.800000000,1.800000000,3.464101615,0.800000000
8.000000000,-179.736495238,2.650108345,0.286741420,0.000027705,0.000002561,1.800000000,1.800000000,3.577708764,0.800000000
8.500000000,-179.236495238,2.650122198,0.286512496,0.000028891,0.000002370,1.800000000,1.800000000,3.687817783,0.800000000
9.000000000,-178.736495239,2.650136643,0.286339740,0.000030014,0.000002246,1.800000000,1.800000000,3.794733192,0.800000000
9.500000000,-178.236495239,2.650151650,0.286217105,0.000031047,0.000002066,1.800000000,1.800000000,3.898717738,0.800000000
10.000000000,-177.736495239,2.650167174,0.286134291,0.000032011,0.000001929,1.800000000,1.800000000,4.000000000,0.800000000
10.500000000,-177.236495239,2.650183179,0.286081102,0.000032915,0.000001808,1.800000000,1.800000000,4.098780306,0.800000000
11.000000000,-176.736495240,2.650199637,0.286338302,0.000033750,0.000001669,1.800000000,1.800000000,4.195235393,0.800000000
11.500000000,-176.236495240,2.650216512,0.287880286,0.000034512,0.000001525,1.800000000,1.800000000,4.289522118,0.800000000
12.000000000,-175.736495240,2.650233768,0.290662708,0.000035242,0.000001459,1.800000000,1.800000000,4.381780460,0.800000000
12.500000000,-175.236495241,2.650251389,0.294282358,0.000035938,0.000001393,1.800000000,1.800000000,4.472135955,0.800000000
13.000000000,-174.736495241,2.650269358,0.298411928,0.000036605,0.000001335,1.800000000,1.800000000,4.560701700,0.800000000
13.500000000,-174.236495241,2.650287660,0.302464237,0.000037262,0.000001314,1.800000000,1.800000000,4.647580015,0.800000000
14.000000000,-173.736495242,2.650306292,0.305354773,0.000037911,0.000001297,1.800000000,1.800000000,4.732863826,0.800000000
14.500000000,-173.236495242,2.650325247,0.307043294,0.000038528,0.000001235,1.800000000,1.800000000,4.816637831,0.800000000
15.000000000,-172.736495242,2.650344511,0.307975545,0.000039108,0.000001159,1.800000000,1.800000000,4.898979486,0.800000000
15.500000000,-172.236495243,2.650364065,0.308436783,0.000039640,0.000001065,1.800000000,1.800000000,4.979959839,0.800000000
16.000000000,-171.736495243,2.650383885,0.308712869,0.000040113,0.000000946,1.800000000,1.800000000,5.059644256,0.800000000
16.500000000,-171.236495243,2.650403941,0.308959111,0.000040529,0.000000832,1.800000000,1.800000000,5.138093031,0.800000000
17.000000000,-170.736495244,2.650424206,0.309214882,0.000040887,0.000000715,1.800000000,1.800000000,5.215361924,0.800000000
17.500000000,-170.236495244,2.650444649,0.309407812,0.000041180,0.000000586,1.800000000,1.800000000,5.291502622,0.800000000
18.000000000,-169.736495245,2.650465239,0.309567452,0.000041409,0.000000458,1.800000000,1.800000000,5.366563146,0.800000000
18.500000000,-169.236495245,2.650485944,0.309676540,0.000041574,0.000000330,1.800000000,1.800000000,5.440588203,0.800000000
19.000000000,-168.736495246,2.650506731,0.309731781,0.000041665,0.000000181,1.800000000,1.800000000,5.513619501,0.800000000
19.500000000,-168.236495246,2.650527563,0.309729573,0.000041680,0.000000031,1.800000000,1.800000000,5.585696017,0.800000000
20.000000000,-167.736495246,2.650548403,0.309693834,0.000041613,-0.000000135,1.800000000,1.800000000,5.656854250,0.800000000
20.500000000,-167.236495247,2.650569209,0.309634128,0.000041457,-0.000000312,1.800000000,1.800000000,5.727128425,0.800000000
21.000000000,-166.736495247,2.650589937,0.309609342,0.000041216,-0.000000482,1.800000000,1.800000000,5.796550698,0.800000000
21.500000000,-166.236495248,2.650610545,0.309555908,0.000040879,-0.000000674,1.800000000,1.800000000,5.865151319,0.800000000
22.000000000,-165.736495248,2.650630985,0.309500485,0.000040436,-0.000000885,1.800000000,1.800000000,5.932958790,0.800000000
22.500000000,-165.236495249,2.650651203,0.309455379,0.000039884,-0.000001103,1.800000000,1.800000000,6.000000000,0.800000000
23.000000000,-164.736495249,2.650671145,0.309437892,0.000039216,-0.000001336,1.800000000,1.800000000,6.066300355,0.800000000
23.500000000,-164.236495249,2.650690753,0.309436322,0.000038436,-0.000001560,1.800000000,1.800000000,6.131883887,0.800000000
24.000000000,-163.736495250,2.650709971,0.309421485,0.000037521,-0.000001831,1.800000000,1.800000000,6.196773354,0.800000000
24.500000000,-163.236495250,2.650728731,0.309428821,0.000036476,-0.000002089,1.800000000,1.800000000,6.260990337,0.800000000
25.000000000,-162.736495250,2.650746969,0.309421712,0.000035286,-0.000002379,1.800000000,1.800000000,6.324555320,0.800000000
25.500000000,-162.236495251,2.650764612,0.309421213,0.000033943,-0.000002687,1.800000000,1.800000000,6.387487769,0.800000000
26.000000000,-161.736495251,2.650781584,0.309419228,0.000032447,-0.000002992,1.800000000,1.800000000,6.449806199,0.800000000
26.500000000,-161.236495251,2.650797807,0.309420456,0.000030783,-0.000003328,1.800000000,1.800000000,6.511528238,0.800000000
27.000000000,-160.736495252,2.650813199,0.309420789,0.000028949,-0.000003667,1.800000000,1.800000000,6.572670690,0.800000000
27.500000000,-160.236495252,2.650827673,0.309416382,0.000026919,-0.000004062,1.800000000,1.800000000,6.633249581,0.800000000
28.000000000,-159.736495252,2.650841132,0.309435066,0.000024707,-0.000004423,1.800000000,1.800000000,6.693280212,0.800000000
28.500000000,-159.236495252,2.650853486,0.309444631,0.000022301,-0.000004812,1.800000000,1.800000000,6.752777206,0.800000000
29.000000000,-158.736495252,2.650864636,0.309445186,0.000019665,-0.000005272,1.800000000,1.800000000,6.811754546,0.800000000
29.500000000,-158.236495252,2.650874469,0.309443398,0.000016813,-0.000005704,1.800000000,1.800000000,6.870225615,0.800000000
