index,s,x,y,yaw,center_on_road,left_road_extent,right_road_extent
0,0,-187.736495237,2.65,-5.6e-08,1,6.25,2.75
1,0.5,-187.236495237,2.649999972,2.744e-06,1,6.25,2.74999990463
2,1,-186.736495237,2.650001344,2.99e-06,1,6.24999856949,2.75000133514
3,1.5,-186.236495237,2.650002839,4.742e-06,1,6.24999713898,2.75000276566
4,2,-185.736495237,2.65000521,6.684e-06,1,6.24999475479,2.75000514984
5,2.5,-185.236495237,2.650008552,8.627e-06,1,6.24999141693,2.7500084877
6,3,-184.736495237,2.650012865,1.072e-05,1,6.2499871254,2.75001277924
7,3.5,-184.236495237,2.650018225,1.2771e-05,1,6.24998168945,2.75001821518
8,4,-183.736495237,2.650024611,1.4764e-05,1,6.24997529984,2.7500246048
9,4.5,-183.236495237,2.650031993,1.6705e-05,1,6.24996795654,2.75003194809
10,5,-182.736495237,2.650040346,1.8569e-05,1,6.24995956421,2.75004034042
11,5.5,-182.236495238,2.65004963,2.034e-05,1,6.24995031357,2.75004959106
12,6,-181.736495238,2.6500598,2.2023e-05,1,6.24994010925,2.75005979538
13,6.5,-181.236495238,2.650070812,2.3588e-05,1,6.249929142,2.75007076263
14,7,-180.736495238,2.650082606,2.5054e-05,1,6.24991731644,2.7500825882
15,7.5,-180.236495238,2.650095133,2.6425e-05,1,6.2499048233,2.75009508133
16,8,-179.736495238,2.650108345,2.7705e-05,1,6.24989156723,2.7501083374
17,8.5,-179.236495238,2.650122198,2.8891e-05,1,6.24987773895,2.75012216568
18,9,-178.736495239,2.650136643,3.0014e-05,1,6.24986333847,2.75013656616
19,9.5,-178.236495239,2.65015165,3.1047e-05,1,6.24984827042,2.75015163422
20,10,-177.736495239,2.650167174,3.2011e-05,1,6.24983282089,2.75016708374
21,10.5,-177.236495239,2.650183179,3.2915e-05,1,6.24981679916,2.75018310547
22,11,-176.73649524,2.650199637,3.375e-05,1,6.2498003006,2.75019960403
23,11.5,-176.23649524,2.650216512,3.4512e-05,1,6.24978342056,2.75021648407
24,12,-175.73649524,2.650233768,3.5242e-05,1,6.24976615906,2.75023374557
25,12.5,-175.236495241,2.650251389,3.5938e-05,1,6.24974861145,2.75025138855
26,13,-174.736495241,2.650269358,3.6605e-05,1,6.24973058701,2.75026931763
27,13.5,-174.236495241,2.65028766,3.7262e-05,1,6.24971227646,2.75028762817
28,14,-173.736495242,2.650306292,3.7911e-05,1,6.24969367981,2.75030622482
29,14.5,-173.236495242,2.650325247,3.8528e-05,1,6.24967470169,2.75032520294
30,15,-172.736495242,2.650344511,3.9108e-05,1,6.24965543747,2.75034446716
31,15.5,-172.236495243,2.650364065,3.964e-05,1,6.24963588715,2.75036401749
32,16,-171.736495243,2.650383885,4.0113e-05,1,6.24961605072,2.75038385391
33,16.5,-171.236495243,2.650403941,4.0529e-05,1,6.24959602356,2.75040388107
34,17,-170.736495244,2.650424206,4.0887e-05,1,6.2495757103,2.75042419434
35,17.5,-170.236495244,2.650444649,4.118e-05,1,6.24955530167,2.75044460297
36,18,-169.736495245,2.650465239,4.1409e-05,1,6.2495347023,2.75046520233
37,18.5,-169.236495245,2.650485944,4.1574e-05,1,6.24951400757,2.75048589706
38,19,-168.736495246,2.650506731,4.1665e-05,1,6.24949321747,2.75050668716
39,19.5,-168.236495246,2.650527563,4.168e-05,1,6.24947242737,2.75052747726
40,20,-167.736495246,2.650548403,4.1613e-05,1,6.2494515419,2.75054836273
41,20.5,-167.236495247,2.650569209,4.1457e-05,1,6.2494307518,2.75056915283
42,21,-166.736495247,2.650589937,4.1216e-05,1,6.24941005707,2.75058984756
43,21.5,-166.236495248,2.650610545,4.0879e-05,1,6.2493894577,2.7506105423
44,22,-165.736495248,2.650630985,4.0436e-05,1,6.2493689537,2.75063095093
45,22.5,-165.236495249,2.650651203,3.9884e-05,1,6.24934873581,2.75065116882
46,23,-164.736495249,2.650671145,3.9216e-05,1,6.24932880402,2.75067110062
47,23.5,-164.236495249,2.650690753,3.8436e-05,1,6.24930915833,2.75069074631
48,24,-163.73649525,2.650709971,3.7521e-05,1,6.24928998947,2.75070991516
49,24.5,-163.23649525,2.650728731,3.6476e-05,1,6.24927120209,2.75072870255
50,25,-162.73649525,2.650746969,3.5286e-05,1,6.24925298691,2.75074691772
51,25.5,-162.236495251,2.650764612,3.3943e-05,1,6.24923534393,2.7507645607
52,26,-161.736495251,2.650781584,3.2447e-05,1,6.24921836853,2.7507815361
53,26.5,-161.236495251,2.650797807,3.0783e-05,1,6.24920215607,2.75079774857
54,27,-160.736495252,2.650813199,2.8949e-05,1,6.24918680191,2.75081319809
55,27.5,-160.236495252,2.650827673,2.6919e-05,1,6.24917230606,2.75082759857
56,28,-159.736495252,2.650841132,2.4707e-05,1,6.24915885925,2.75084104538
57,28.5,-159.236495252,2.650853486,2.2301e-05,1,6.24914646149,2.75085344315
58,29,-158.736495252,2.650864636,1.9665e-05,1,6.2491353035,2.75086460114
59,29.5,-158.236495252,2.650874469,1.6813e-05,1,6.24912548065,2.75087442398
60,30,-157.736495252,2.650882875,1.3734e-05,1,6.24911708832,2.75088281631
61,30.5,-157.236495252,2.650889742,1.04e-05,1,6.24911022186,2.75088968277
62,31,-156.736495252,2.650894942,6.803e-06,1,6.24910497665,2.75089492798
63,31.5,-156.236495252,2.650898344,2.978e-06,1,6.24910163879,2.75089826584
64,32,-155.736495252,2.650899833,-1.125e-06,1,6.24910011292,2.75089979172
65,32.5,-155.236495252,2.65089927,-5.532e-06,1,6.24910068512,2.75089921951
66,33,-154.736495253,2.650896504,-1.0226e-05,1,6.24910345078,2.75089645386
67,33.5,-154.236495253,2.650891392,-1.5208e-05,1,6.24910860062,2.75089130402
68,34,-153.736495253,2.650883788,-2.0533e-05,1,6.24911613464,2.75088376999
69,34.5,-153.236495253,2.650873521,-2.6169e-05,1,6.24912643433,2.75087347031
70,35,-152.736495253,2.650860437,-3.2153e-05,1,6.24913949966,2.75086040497
71,35.5,-152.236495253,2.65084436,-3.8468e-05,1,6.24915561676,2.75084428787
72,36,-151.736495254,2.650825126,-4.5167e-05,1,6.24917488098,2.75082511902
73,36.5,-151.236495254,2.650802543,-5.2232e-05,1,6.2491973877,2.75080251694
74,37,-150.736495255,2.650776427,-5.967e-05,1,6.24922351837,2.75077638626
75,37.5,-150.236495256,2.650746592,-6.7484e-05,1,6.24925336838,2.75074653625
76,38,-149.736495257,2.65071285,-7.5736e-05,1,6.24928712845,2.75071277618
77,38.5,-149.236495258,2.650674982,-8.4372e-05,1,6.24932498932,2.75067491531
78,39,-148.73649526,2.650632796,-9.3435e-05,1,6.24936714172,2.75063276291
79,39.5,-148.236495262,2.650586078,-0.000102912,1,6.24941387177,2.75058603287
80,40,-147.736495265,2.650534622,-0.00011282,1,6.24946537018,2.75053462982
81,40.499999999,-147.236495268,2.650478212,-0.000123201,1,6.2495218277,2.7504781723
82,40.999999999,-146.736495272,2.650416611,-0.000133968,1,6.24958343506,2.75041656494
83,41.499999999,-146.236495277,2.650349627,-0.000145239,1,6.249650383,2.750349617
84,41.999999999,-145.736495282,2.650277007,-0.000156981,1,6.24972305298,2.75027694702
85,42.499999999,-145.236495288,2.650198517,-0.000169151,1,6.24980154037,2.75019855499
86,42.999999999,-144.736495296,2.650113941,-0.000181852,1,6.24988613129,2.75011396408
87,43.499999999,-144.236495304,2.650023015,-0.000194909,1,6.24997701645,2.75002298355
88,43.999999999,-143.736495314,2.64992556,-0.0002085,1,6.25007448196,2.7499256134
89,44.499999999,-143.236495325,2.64982131,-0.000222594,1,6.25017881393,2.7498213768
90,44.999999999,-142.736495337,2.649710013,-0.000237136,1,6.25029010773,2.74971008301
91,45.499999999,-142.236495351,2.649591445,-0.000252115,1,6.25040874481,2.74959144592
92,45.999999998,-141.736495367,2.649465388,-0.0002676,1,6.25053482056,2.74946546555
93,46.499999998,-141.236495385,2.649331588,-0.000283536,1,6.25066862106,2.74933166504
94,46.999999998,-140.736495405,2.64918982,-0.0002999,1,6.25081043243,2.74918985367
95,47.499999998,-140.236495428,2.649039869,-0.000316734,1,6.2509604454,2.74903993607
96,47.999999998,-139.736495453,2.648881502,-0.000333955,1,6.25111875534,2.74888162613
97,48.499999998,-139.236495481,2.648714525,-0.000351639,1,6.25128583908,2.74871463776
98,48.999999998,-138.736495512,2.648538705,-0.000369711,1,6.25146169662,2.74853887558
99,49.499999997,-138.236495547,2.64835385,-0.000388153,1,6.25164661407,2.7483540535
100,49.999999997,-137.736495585,2.648159773,-0.000406946,1,6.2518406868,2.74815998077
101,50.499999997,-137.236495626,2.6479563,-0.000426034,1,6.2520442009,2.74795646667
102,50.999999997,-136.736495672,2.647743283,-0.000445456,1,6.25225725174,2.7477435112
103,51.499999997,-136.236495722,2.647520555,-0.000465093,1,6.25248003006,2.74752082825
104,51.999999996,-135.736495776,2.647288009,-0.000484922,1,6.25271272659,2.74728832245
105,52.499999996,-135.236495835,2.647045548,-0.000504873,1,6.25295524597,2.74704589844
106,52.999999996,-134.736495899,2.646793111,-0.000524927,1,6.25320768356,2.74679346085
107,53.499999996,-134.236495968,2.646530648,-0.000544932,1,6.2534702301,2.74653100967
108,53.999999996,-133.736496042,2.646258182,-0.000564892,1,6.25374279022,2.74625854492
109,54.499999995,-133.236496122,2.645975736,-0.000584738,1,6.25402526855,2.74597616196
110,54.999999995,-132.736496208,2.645683367,-0.000604243,1,6.25431776047,2.74568386078
111,55.499999995,-132.2364963,2.645381246,-0.000623656,1,6.25461988449,2.74538173676
112,55.999999995,-131.736496397,2.645069417,-0.000642326,1,6.25493183136,2.74506998062
113,56.499999995,-131.2364965,2.644748254,-0.000660582,1,6.25525302887,2.74474878311
114,56.999999994,-130.73649661,2.644417963,-0.000678125,1,6.25558338165,2.7444185257
115,57.499999994,-130.236496725,2.644078901,-0.000694881,1,6.25592260361,2.74407949448
116,57.999999994,-129.736496846,2.64373146,-0.000710628,1,6.25627002716,2.74373207092
117,58.499999994,-129.236496972,2.643376146,-0.000725482,1,6.25662546158,2.74337682724
118,58.999999994,-128.736497104,2.643013405,-0.000739036,1,6.25698823929,2.7430141449
119,59.499999994,-128.23649724,2.642643887,-0.000751256,1,6.25735778809,2.7426445961
120,59.999999994,-127.736497381,2.642268259,-0.000762001,1,6.25773353577,2.74226903915
121,60.499999994,-127.236497527,2.641887259,-0.000770981,1,6.25811452866,2.74188804626
122,60.999999994,-126.736497675,2.641501768,-0.000778302,1,6.25850009918,2.74150257111
123,61.499999994,-126.236497827,2.641112617,-0.000783537,1,6.25888929367,2.74111337662
124,61.999999994,-125.73649798,2.640720849,-0.00078663,1,6.25928106308,2.74072160721
125,62.499999994,-125.236498135,2.640327533,-0.000787566,1,6.25967435837,2.74032831192
126,62.999999994,-124.73649829,2.63993375,-0.000785859,1,6.26006813049,2.73993453979
127,63.499999994,-124.236498444,2.639540821,-0.000781635,1,6.26046104431,2.73954162598
128,63.999999994,-123.736498597,2.639150003,-0.000774405,1,6.26085186005,2.73915081024
129,64.499999994,-123.236498747,2.6387628,-0.000764039,1,6.26123895645,2.7387635231
130,64.999999993,-122.736498893,2.638380781,-0.0007504,1,6.26162090302,2.73838148117
131,65.499999993,-122.236499034,2.638005581,-0.000733003,1,6.26199607849,2.73800630569
132,65.999999993,-121.736499169,2.637639079,-0.000711474,1,6.26236248016,2.73763971329
133,66.499999993,-121.236499295,2.637283342,-0.000685598,1,6.26271810532,2.7372838974
134,66.999999992,-120.736499413,2.636940543,-0.000654849,1,6.2630607605,2.73694105148
135,67.499999992,-120.236499521,2.636613119,-0.000619124,1,6.26338806152,2.73661355972
136,67.999999991,-119.736499618,2.636303557,-0.00057773,1,6.26369743347,2.73630399704
137,68.49999999,-119.236499702,2.636014692,-0.000529917,1,6.26398611069,2.73601503372
138,68.999999989,-118.736499774,2.635749733,-0.000475496,1,6.26425094604,2.73575000763
139,69.499999987,-118.236499832,2.635511985,-0.000414119,1,6.26448850632,2.73551216125
140,69.999999985,-117.736499877,2.635304925,-0.000344629,1,6.26469535828,2.73530502319
141,70.499999982,-117.23649991,2.635132611,-0.000266749,1,6.26486759186,2.73513269424
142,70.999999978,-116.736499931,2.634999236,-0.000180647,1,6.26500082016,2.73499927521
143,71.499999974,-116.236499944,2.634908912,-8.4007e-05,1,6.26509103775,2.73490886688
144,71.999999968,-115.736499951,2.634866909,2.3834e-05,1,6.26513299942,2.73486690521
145,72.499999962,-115.236499958,2.634878826,0.000141275,1,6.26512117386,2.73487882614
146,72.999999954,-114.736499971,2.634949464,0.000271947,1,6.26505069733,2.73494949341
147,73.499999944,-114.236499999,2.635085437,0.000416303,1,6.26491508484,2.73508558273
148,73.999999932,-113.736500054,2.635293589,0.000574703,1,6.26470737457,2.73529396057
149,74.499999917,-113.236500151,2.63558094,0.000747681,1,6.26442079544,2.73558168411
150,74.9999999,-112.736500309,2.635954781,0.000937198,1,6.26404790878,2.73595590591
151,75.499999879,-112.236500549,2.63642338,0.001146149,1,6.26358070374,2.73642511368
152,75.999999855,-111.736500902,2.636996454,0.001368648,1,6.26300935745,2.73699893951
153,76.499999826,-111.236501399,2.637680778,0.001614815,1,6.26232738495,2.73768434525
154,76.999999792,-110.736502085,2.638488185,0.001880678,1,6.2615228653,2.7384929657
155,77.499999751,-110.23650301,2.639428523,0.00216826,1,6.26058616638,2.73943490982
156,77.999999704,-109.736504232,2.640512653,0.00247967,1,6.25950651169,2.7405210495
157,78.499999648,-109.236505826,2.641752486,0.002815612,1,6.25827226639,2.74176330566
158,78.999999585,-108.73650787,2.64316029,0.003177565,1,6.25687122345,2.74317407608
159,79.499999511,-108.236510469,2.644749069,0.003566218,1,7.36504993439,2.74476652145
160,79.999999424,-107.736513735,2.646532174,0.003980844,1,7.53629379272,2.74655389786
161,80.499999328,-107.236517793,2.64852259,0.004423858,1,7.74751291275,2.74854946136
162,80.999999216,-106.736522797,2.650734512,0.004891645,1,7.99547128677,2.75076742172
163,81.499999096,-106.2365289,2.653180324,0.005394221,1,8.28110103607,2.75322036743
164,81.999998955,-105.736536315,2.65587742,0.005932194,1,8.60978069305,2.7559258461
165,82.499998791,-105.236545276,2.658843499,0.006499834,1,8.99458036423,2.75890169144
166,82.99999861,-104.73655602,2.662093392,0.007108016,1,9.46940631866,2.76216316223
167,83.499998399,-104.236568862,2.665647369,0.007762376,1,10,2.76573066711
168,83.999998166,-103.736584158,2.669528516,0.008433312,1,10,2.7696269989
169,84.499997912,-103.236602192,2.67374512,0.009140028,1,10,2.7738609314
170,84.999997633,-102.736623356,2.678315067,0.009887264,1,10,2.77845087051
171,85.499997335,-102.236648093,2.683258616,0.01064734,1,10,2.78341636658
172,85.999997017,-101.736676753,2.688582182,0.011433066,1,10,2.78876438141
173,86.499996677,-101.236709771,2.694298586,0.012250802,1,10,2.79450826645
174,86.999996323,-100.736747645,2.70042383,0.013064507,1,10,2.80066280365
175,87.499995967,-100.236790671,2.706955893,0.013885643,1,10,2.80722646713
176,87.999995609,-99.73683923,2.713898486,0.014712958,1,10,2.81420307159
177,88.499995258,-99.236893698,2.721254695,0.015530916,1,10,2.82159490585
