s,x,y,z,yaw,curvature,left_offset,right_offset,target_velocity,target_acceleration
0.000000000,0.087506294,0.010224883,0.016363425,0.025977708,0.000000000,0.400000000,0.400000000,0.100000000,0.000000000
0.199683540,0.287122460,0.015411620,0.031815025,0.017851930,-0.040679995,0.400000000,0.400000000,0.412003437,0.400000000
0.399496373,0.486903455,0.018978475,0.054394837,0.029260121,0.057078336,0.400000000,0.400000000,0.500000000,0.200820856
0.599419383,0.686740888,0.024827412,0.077966004,0.042798803,0.067754844,0.400000000,0.400000000,0.500000000,0.000000000
0.799130642,0.886269267,0.033372205,0.104922042,0.072114065,0.146877510,0.400000000,0.400000000,0.500000000,0.000000000
0.998584812,1.085205036,0.047743193,0.114059473,0.102425861,0.151876496,0.400000000,0.400000000,0.500000000,0.000000000
1.198279116,1.283852754,0.068161309,0.125251300,0.128382058,0.129915399,0.400000000,0.400000000,0.500000000,0.000000000
1.398159749,1.482088437,0.093751963,0.136583622,0.139764671,0.056941427,0.400000000,0.400000000,0.500000000,0.000000000
1.598077724,1.680056973,0.121602553,0.140080174,0.141988673,0.011126595,0.400000000,0.400000000,0.500000000,0.000000000
1.797922892,1.877891005,0.149883053,0.151235256,0.133963942,-0.040154517,0.400000000,0.400000000,0.500000000,0.000000000
1.997769197,2.075946736,0.176575246,0.174788009,0.125156303,-0.044071019,0.400000000,0.400000000,0.500000000,0.000000000
2.197623677,2.274237988,0.201523044,0.222217103,0.124295633,-0.004305754,0.400000000,0.400000000,0.500000000,0.000000000
2.397545955,2.472617913,0.226308575,0.249906919,0.125761857,0.007333580,0.400000000,0.400000000,0.500000000,0.000000000
2.597489560,2.670982442,0.251387623,0.258355265,0.120432309,-0.026663113,0.400000000,0.400000000,0.500000000,0.000000000
2.797314914,2.869360419,0.275394920,0.270131060,0.127754245,0.036643154,0.400000000,0.400000000,0.500000000,0.000000000
2.997123262,3.067540434,0.300851905,0.287242192,0.130855246,0.015515481,0.400000000,0.400000000,0.500000000,0.000000000
3.197044682,3.265752658,0.326938077,0.318064481,0.126559109,-0.021490083,0.400000000,0.400000000,0.500000000,0.000000000
3.396948023,3.464057187,0.352170181,0.328046675,0.130831590,0.021370431,0.400000000,0.400000000,0.500000000,0.000000000
3.596894169,3.662294544,0.378254890,0.336773377,0.161579770,0.153789610,0.400000000,0.400000000,0.500000000,0.000000000
3.796805586,3.859601988,0.410416158,0.353613228,0.186757586,0.126177868,0.400000000,0.400000000,0.500000000,0.000000000
3.995968127,4.055301377,0.447395433,0.372423926,0.209846748,0.115827271,0.400000000,0.400000000,0.500000000,0.000000000
4.195479382,4.250435924,0.488955625,0.375724241,0.238330195,0.142577857,0.400000000,0.400000000,0.500000000,0.000000000
4.395504006,4.444806559,0.536177508,0.392603193,0.260577749,0.111288359,0.400000000,0.400000000,0.500000000,0.000000000
4.595289296,4.637847355,0.587649959,0.423661680,0.261891557,0.006573571,0.400000000,0.400000000,0.500000000,0.000000000
4.795228351,4.830968882,0.639415794,0.437905619,0.253976002,-0.039584212,0.400000000,0.400000000,0.500000000,0.000000000
4.995223181,5.024548095,0.689665373,0.443342751,0.258435450,0.022301507,0.400000000,0.400000000,0.500000000,0.000000000
5.195151465,5.217836963,0.740760700,0.456332868,0.264585086,0.030756544,0.400000000,0.400000000,0.500000000,0.000000000
5.395113739,5.410840767,0.793052597,0.470964568,0.261055168,-0.017659037,0.400000000,0.400000000,0.500000000,0.000000000
5.594937253,5.603893896,0.844627068,0.493711986,0.266844097,0.028965299,0.400000000,0.400000000,0.500000000,0.000000000
5.794827960,5.796710046,0.897335958,0.518636453,0.283360186,0.082613824,0.400000000,0.400000000,0.500000000,0.000000000
5.994771097,5.988679733,0.953236742,0.512597756,0.287055873,0.018488165,0.400000000,0.400000000,0.500000000,0.000000000
6.194617211,6.180348463,1.009819131,0.512934202,0.297848964,0.054019171,0.400000000,0.400000000,0.500000000,0.000000000
6.394371406,6.371307471,1.068439908,0.530275587,0.316694087,0.094317799,0.400000000,0.400000000,0.500000000,0.000000000
6.594220359,6.561217968,1.130678220,0.552572163,0.328657202,0.059865879,0.400000000,0.400000000,0.500000000,0.000000000
6.794032902,6.750335867,1.195172193,0.565837408,0.333954057,0.026498437,0.400000000,0.400000000,0.500000000,0.000000000
6.994006126,6.939261304,1.260719654,0.584873671,0.344346622,0.051991972,0.400000000,0.400000000,0.500000000,0.000000000
7.193806855,7.127332975,1.328168729,0.598647527,0.342940919,-0.007034223,0.400000000,0.400000000,0.500000000,0.000000000
7.393681612,7.315568991,1.395378258,0.611057969,0.343569925,0.003146449,0.400000000,0.400000000,0.500000000,0.000000000
7.593626532,7.503828757,1.462729809,0.623560284,0.345440389,0.009354273,0.400000000,0.400000000,0.500000000,0.000000000
7.793598076,7.691987268,1.530442390,0.638837212,0.350787563,0.026742950,0.400000000,0.400000000,0.500000000,0.000000000
7.993520140,7.879734551,1.599143111,0.649756120,0.353735213,0.014744520,0.400000000,0.400000000,0.500000000,0.000000000
8.193427894,8.067265090,1.668391990,0.670307125,0.354083733,0.001743188,0.400000000,0.400000000,0.500000000,0.000000000
8.393385237,8.254817996,1.737723417,0.677723861,0.348049011,-0.030181903,0.400000000,0.400000000,0.500000000,0.000000000
8.593317395,8.442762204,1.805913168,0.691118711,0.339344365,-0.043536241,0.400000000,0.400000000,0.500000000,0.000000000
8.793264438,8.631306889,1.872469324,0.708811530,0.331329845,-0.040087659,0.400000000,0.400000000,0.500000000,0.000000000
8.993166040,8.820335959,1.937497481,0.727526608,0.318604832,-0.063662060,0.400000000,0.400000000,0.500000000,0.000000000
9.193029303,9.010140776,2.000103032,0.739221515,0.309527740,-0.045406076,0.400000000,0.400000000,0.500000000,0.000000000
9.392983039,9.200592217,2.061010710,0.756859019,0.303168813,-0.031805027,0.400000000,0.400000000,0.500000000,0.000000000
9.592897972,9.391390078,2.120694514,0.772561945,0.299901536,-0.016341304,0.400000000,0.400000000,0.500000000,0.000000000
