s,x,y,z,yaw,curvature,left_offset,right_offset,target_velocity,target_acceleration
0.000000000,0.144360706,0.012516395,0.004388176,0.022014516,0.000000000,0.400000000,0.400000000,0.100000000,0.000000000
0.199697536,0.344009853,0.016912285,-0.012796014,0.015869694,-0.030780707,0.400000000,0.400000000,0.412017024,0.400000000
0.399263883,0.543551071,0.020079209,-0.022283552,0.003381755,-0.062512381,0.400000000,0.400000000,0.500000000,0.201040839
0.599229838,0.743515883,0.020755443,-0.018414272,-0.003063963,-0.032240011,0.400000000,0.400000000,0.500000000,0.000000000
0.799121517,0.943406623,0.020142983,-0.018891402,0.001416982,0.022421253,0.400000000,0.400000000,0.500000000,0.000000000
0.998934701,1.143219607,0.020426115,-0.025746511,0.007894388,0.032412292,0.400000000,0.400000000,0.500000000,0.000000000
1.198809024,1.343087702,0.022003984,-0.034198889,0.005997810,-0.009487851,0.400000000,0.400000000,0.500000000,0.000000000
1.398725357,1.543000439,0.023203037,-0.033359711,0.017942134,0.059743736,0.400000000,0.400000000,0.500000000,0.000000000
1.598658564,1.742901465,0.026790073,-0.031523300,0.017519560,-0.002115863,0.400000000,0.400000000,0.500000000,0.000000000
1.798159479,1.942371765,0.030285063,-0.033261894,0.017201122,-0.001594646,0.400000000,0.400000000,0.500000000,0.000000000
1.998043264,2.142225979,0.033723118,-0.054466616,0.037771521,0.102892976,0.400000000,0.400000000,0.500000000,0.000000000
2.197993119,2.342033218,0.041273733,-0.061042612,0.044387590,0.033102412,0.400000000,0.400000000,0.500000000,0.000000000
2.397775890,2.541619209,0.050138697,-0.071799328,0.047015626,0.013150209,0.400000000,0.400000000,0.500000000,0.000000000
2.597688000,2.741310410,0.059534227,-0.066984738,0.051576085,0.022818567,0.400000000,0.400000000,0.500000000,0.000000000
2.797490298,2.940847021,0.069834680,-0.049214721,0.054542171,0.014839112,0.400000000,0.400000000,0.500000000,0.000000000
2.997453803,3.140513169,0.080735717,-0.059111143,0.040895412,-0.068245345,0.400000000,0.400000000,0.500000000,0.000000000
3.197419498,3.340311673,0.088911117,-0.058521977,0.041705659,0.004052262,0.400000000,0.400000000,0.500000000,0.000000000
3.397352617,3.540070939,0.097247042,-0.058931251,0.031070868,-0.053197041,0.400000000,0.400000000,0.500000000,0.000000000
3.597244042,3.739865885,0.103456843,-0.061555342,0.022994652,-0.040403921,0.400000000,0.400000000,0.500000000,0.000000000
3.797125408,3.939694409,0.108052641,-0.057857902,0.026767180,0.018868593,0.400000000,0.400000000,0.500000000,0.000000000
3.997117602,4.139614961,0.113405228,-0.049621024,0.027199971,0.002164988,0.400000000,0.400000000,0.500000000,0.000000000
4.196934793,4.339358241,0.118839580,-0.044290586,0.015259579,-0.059737322,0.400000000,0.400000000,0.500000000,0.000000000
4.396878438,4.539278608,0.121890518,-0.062475674,0.015322522,0.000314996,0.400000000,0.400000000,0.500000000,0.000000000
4.596577022,4.738953750,0.124950284,-0.068827485,0.014648054,-0.003375667,0.400000000,0.400000000,0.500000000,0.000000000
4.796484386,4.938839667,0.127878433,-0.062048823,-0.002431712,-0.085470344,0.400000000,0.400000000,0.500000000,0.000000000
4.996237478,5.138592168,0.127392691,-0.051346815,-0.014995240,-0.062867684,0.400000000,0.400000000,0.500000000,0.000000000
5.196163341,5.338495554,0.124394868,-0.054788234,-0.004178405,0.054110980,0.400000000,0.400000000,0.500000000,0.000000000
5.396037370,5.538367838,0.123559715,-0.052333670,-0.006811496,-0.013175366,0.400000000,0.400000000,0.500000000,0.000000000
5.595862423,5.738188256,0.122198618,-0.034754450,-0.003713560,0.015505791,0.400000000,0.400000000,0.500000000,0.000000000
5.795621691,5.937946147,0.121456802,-0.035675180,0.005049269,0.043845501,0.400000000,0.400000000,0.500000000,0.000000000
5.995575055,6.137896962,0.122466416,-0.043572901,0.017354720,0.061545831,0.400000000,0.400000000,0.500000000,0.000000000
6.195498461,6.337790262,0.125935857,-0.046565149,0.012184384,-0.025860878,0.400000000,0.400000000,0.500000000,0.000000000
6.395432390,6.537709349,0.128371868,-0.045596773,0.016013830,0.019156517,0.400000000,0.400000000,0.500000000,0.000000000
6.595304277,6.737555609,0.131572446,-0.045681423,0.011513821,-0.022511752,0.400000000,0.400000000,0.500000000,0.000000000
6.795223999,6.937462080,0.133874235,-0.037965572,0.005916016,-0.027999876,0.400000000,0.400000000,0.500000000,0.000000000
6.995148710,7.137383292,0.135056986,-0.025191363,0.005254254,-0.003309931,0.400000000,0.400000000,0.500000000,0.000000000
7.195088608,7.337320431,0.136107516,-0.023335714,0.005190658,-0.000318086,0.400000000,0.400000000,0.500000000,0.000000000
7.395015331,7.537244460,0.137145263,-0.027122407,-0.000070938,-0.026317122,0.400000000,0.400000000,0.500000000,0.000000000
7.594949242,7.737178370,0.137131080,-0.023165200,0.002308521,0.011902134,0.400000000,0.400000000,0.500000000,0.000000000
7.794852689,7.937081285,0.137592561,-0.021353326,0.006387551,0.020405061,0.400000000,0.400000000,0.500000000,0.000000000
7.994754676,8.136979194,0.138869436,-0.016182822,-0.001736293,-0.040637084,0.400000000,0.400000000,0.500000000,0.000000000
8.194675776,8.336899993,0.138522315,-0.017502595,-0.003388245,-0.008264209,0.400000000,0.400000000,0.500000000,0.000000000
8.394539293,8.536762362,0.137845129,-0.023042739,-0.002020335,0.006844776,0.400000000,0.400000000,0.500000000,0.000000000
8.594370514,8.736593175,0.137441404,-0.015186205,-0.004173949,-0.010774944,0.400000000,0.400000000,0.500000000,0.000000000
8.794284075,8.936504995,0.136606977,-0.018622472,-0.007261465,-0.015443265,0.400000000,0.400000000,0.500000000,0.000000000
8.994223081,9.136438730,0.135155140,-0.021414164,-0.011520722,-0.021301817,0.400000000,0.400000000,0.500000000,0.000000000
9.194179924,9.336382303,0.132851543,-0.030047976,-0.010922033,0.002994284,0.400000000,0.400000000,0.500000000,0.000000000
9.394111442,9.536301897,0.130667928,-0.021215988,-0.015257768,-0.021687328,0.400000000,0.400000000,0.500000000,0.000000000
9.594020065,9.736187251,0.127617887,-0.020507582,-0.017185531,-0.009642903,0.400000000,0.400000000,0.500000000,0.000000000
9.793941818,9.936079481,0.124182295,-0.016362763,-0.023719843,-0.032685756,0.400000000,0.400000000,0.500000000,0.000000000
9.993845610,10.135927040,0.119441053,-0.013591387,-0.024161632,-0.002211321,0.400000000,0.400000000,0.500000000,0.000000000
10.193511569,10.335534720,0.114617267,-0.012448990,-0.028535695,-0.021895619,0.400000000,0.400000000,0.500000000,0.000000000
10.393383041,10.535324822,0.108914569,-0.014098120,-0.029432028,-0.004483209,0.400000000,0.400000000,0.500000000,0.000000000
10.593373859,10.735229025,0.103029284,-0.016492218,-0.042607310,-0.065886321,0.400000000,0.400000000,0.500000000,0.000000000
10.793319981,10.934993686,0.094512695,-0.009819447,-0.055435405,-0.064180766,0.400000000,0.400000000,0.500000000,0.000000000
10.993120022,11.134486805,0.083442371,-0.008439629,-0.064934201,-0.047560403,0.400000000,0.400000000,0.500000000,0.000000000
11.192759816,11.333705861,0.070488028,-0.010993640,-0.085035760,-0.100640167,0.400000000,0.400000000,0.500000000,0.000000000
11.392587177,11.532811173,0.053516028,-0.019153052,-0.096779683,-0.058762993,0.400000000,0.400000000,0.500000000,0.000000000
11.592462261,11.731750942,0.034202364,-0.017728134,-0.107211874,-0.052193273,0.400000000,0.400000000,0.500000000,0.000000000
11.792337669,11.930478728,0.012814375,-0.014545620,-0.110451062,-0.016202581,0.400000000,0.400000000,0.500000000,0.000000000
11.992298119,12.129220714,-0.009226591,-0.014761660,-0.115593675,-0.025719511,0.400000000,0.400000000,0.500000000,0.000000000
12.192237009,12.327825310,-0.032286827,-0.002326877,-0.112802013,0.013963306,0.400000000,0.400000000,0.500000000,0.000000000
12.392154908,12.526472650,-0.054790174,0.006888296,-0.112822391,-0.000101912,0.400000000,0.400000000,0.500000000,0.000000000
12.592138691,12.725184996,-0.077304987,0.002664041,-0.109373826,0.017248487,0.400000000,0.400000000,0.500000000,0.000000000
12.792023362,12.923875284,-0.099123576,0.000685285,-0.105353891,0.020112826,0.400000000,0.400000000,0.500000000,0.000000000
12.991876907,13.122620723,-0.120139996,-0.004126235,-0.103344858,0.010049315,0.400000000,0.400000000,0.500000000,0.000000000
13.191858167,13.321535018,-0.140770262,0.010728557,-0.101771235,0.007870312,0.400000000,0.400000000,0.500000000,0.000000000
13.391765178,13.520407666,-0.161079944,0.009589509,-0.105964460,-0.020972833,0.400000000,0.400000000,0.500000000,0.000000000
13.591729950,13.719250839,-0.182229472,0.003551921,-0.108891543,-0.014640294,0.400000000,0.400000000,0.500000000,0.000000000
13.791631762,13.917968667,-0.203954096,0.003474502,-0.114349327,-0.027298936,0.400000000,0.400000000,0.500000000,0.000000000
13.991582708,14.116613780,-0.226768557,0.014726460,-0.120566249,-0.031101653,0.400000000,0.400000000,0.500000000,0.000000000
14.191411910,14.314992360,-0.250802888,0.014791105,-0.132134312,-0.057869905,0.400000000,0.400000000,0.500000000,0.000000000
14.391375967,14.513213321,-0.277148182,0.005791731,-0.139957605,-0.039135681,0.400000000,0.400000000,0.500000000,0.000000000
14.591214458,14.711097774,-0.305025878,0.006567291,-0.141165631,-0.006044426,0.400000000,0.400000000,0.500000000,0.000000000
14.791091799,14.908986869,-0.333148069,0.013156784,-0.142473920,-0.006544885,0.400000000,0.400000000,0.500000000,0.000000000
14.991004247,15.106873753,-0.361534118,0.008887753,-0.136341766,0.030680339,0.400000000,0.400000000,0.500000000,0.000000000
15.190836085,15.304851122,-0.388695211,0.009806421,-0.128757533,0.037948080,0.400000000,0.400000000,0.500000000,0.000000000
15.390719574,15.503080014,-0.414360662,0.012696856,-0.123621544,0.025689702,0.400000000,0.400000000,0.500000000,0.000000000
15.590683730,15.701518161,-0.439017626,0.006776037,-0.118361492,0.026312240,0.400000000,0.400000000,0.500000000,0.000000000
15.790536992,15.899973139,-0.462617362,0.021769538,-0.117336803,0.005127186,0.400000000,0.400000000,0.500000000,0.000000000
15.990391805,16.098453737,-0.486013914,0.028634155,-0.115607542,0.008650768,0.400000000,0.400000000,0.500000000,0.000000000
16.190330733,16.297058050,-0.509076909,0.025187584,-0.111226757,0.021919833,0.400000000,0.400000000,0.500000000,0.000000000
16.390101170,16.495594042,-0.531250940,0.023875308,-0.100450795,0.053917514,0.400000000,0.400000000,0.500000000,0.000000000
16.590049097,16.694534043,-0.551302108,0.019108754,-0.093174750,0.036396208,0.400000000,0.400000000,0.500000000,0.000000000
16.789924638,16.893542599,-0.569898526,0.021802997,-0.080522677,0.063293300,0.400000000,0.400000000,0.500000000,0.000000000
16.989838276,17.092808476,-0.585978717,0.024918628,-0.076704739,0.019095709,0.400000000,0.400000000,0.500000000,0.000000000
17.189798309,17.292180554,-0.601301564,0.024617409,-0.072516154,0.020953024,0.400000000,0.400000000,0.500000000,0.000000000
17.389645242,17.491502261,-0.615780996,0.022296379,-0.074282018,-0.008835037,0.400000000,0.400000000,0.500000000,0.000000000
17.589539444,17.690845225,-0.630615889,0.022926321,-0.080733391,-0.032267180,0.400000000,0.400000000,0.500000000,0.000000000
17.789516683,17.890171105,-0.646743197,0.024645386,-0.089849950,-0.045595782,0.400000000,0.400000000,0.500000000,0.000000000
17.989424161,18.089272198,-0.664680717,0.019926157,-0.090458542,-0.003044393,0.400000000,0.400000000,0.500000000,0.000000000
18.189327998,18.288358711,-0.682739075,0.026418360,-0.083999872,0.032308717,0.400000000,0.400000000,0.500000000,0.000000000
18.389233193,18.487559058,-0.699511345,0.026533563,-0.085379195,-0.006901023,0.400000000,0.400000000,0.500000000,0.000000000
18.589072401,18.686670333,-0.716552734,0.031974705,-0.076152141,0.046171580,0.400000000,0.400000000,0.500000000,0.000000000
18.788917230,18.885935977,-0.731756641,0.029609808,-0.063640529,0.062595449,0.400000000,0.400000000,0.500000000,0.000000000
18.988830871,19.085444917,-0.744470664,0.023918665,-0.058113469,0.027664087,0.400000000,0.400000000,0.500000000,0.000000000
19.188500431,19.284777413,-0.756067625,0.019156182,-0.047660991,0.052318425,0.400000000,0.400000000,0.500000000,0.000000000
19.388400630,19.484450612,-0.765591460,0.034494606,-0.036017279,0.058259880,0.400000000,0.400000000,0.500000000,0.000000000
19.588214491,19.684134883,-0.772786656,0.032341446,-0.031687063,0.021670073,0.400000000,0.400000000,0.500000000,0.000000000
19.788049723,19.883869798,-0.779117788,0.014142874,-0.023605305,0.040445056,0.400000000,0.400000000,0.500000000,0.000000000
19.987854758,20.083619169,-0.783833809,0.024941766,-0.022152423,0.007268722,0.400000000,0.400000000,0.500000000,0.000000000
20.187812229,20.283527580,-0.788262989,0.030576309,-0.021747855,0.002023501,0.400000000,0.400000000,0.500000000,0.000000000
20.387724161,20.483392237,-0.792610302,0.022411976,-0.020183477,0.007828871,0.400000000,0.400000000,0.500000000,0.000000000
20.587455574,20.683082969,-0.796641302,0.033879643,-0.021390803,-0.006041850,0.400000000,0.400000000,0.500000000,0.000000000
20.787378486,20.882960145,-0.800917488,0.029881694,-0.023341936,-0.009773207,0.400000000,0.400000000,0.500000000,0.000000000
20.986737527,21.082264878,-0.805570491,0.034958900,-0.006873053,0.082494253,0.400000000,0.400000000,0.500000000,0.000000000
21.186647434,21.282170063,-0.806944472,0.037281595,-0.017181026,-0.051571271,0.400000000,0.400000000,0.500000000,0.000000000
21.386492158,21.481985293,-0.810377840,0.046099050,-0.011610609,0.027878148,0.400000000,0.400000000,0.500000000,0.000000000
21.586272917,21.681752585,-0.812697364,0.035368196,-0.009385438,0.011143859,0.400000000,0.400000000,0.500000000,0.000000000
21.785845823,21.881316701,-0.814570416,0.030890155,0.003832884,0.066217580,0.400000000,0.400000000,0.500000000,0.000000000
21.985509062,22.080978474,-0.813805132,0.029575556,0.017018043,0.066050684,0.400000000,0.400000000,0.500000000,0.000000000
22.185086617,22.280527130,-0.810408876,0.041275580,0.039754273,0.114045880,0.400000000,0.400000000,0.500000000,0.000000000
22.384221230,22.479504407,-0.802494510,0.047247276,0.045211959,0.027347522,0.400000000,0.400000000,0.500000000,0.000000000
22.584221813,22.679300612,-0.793455172,0.041868456,0.073233762,0.140153569,0.400000000,0.400000000,0.500000000,0.000000000
22.784080994,22.878624091,-0.778831812,0.042640587,0.101744634,0.142686813,0.400000000,0.400000000,0.500000000,0.000000000
