index,s,x,y,yaw,center_on_road,left_road_extent,right_road_extent
0,0.000000000,726.489308372,-1400.89609567,1.988976637,1,4.98581600189,2.01430473328
1,0.498008612,726.287067951,-1400.44100074,1.996550236,1,4.98658380508,2.01341609955
2,0.996058646,726.081369548,-1399.98741282,2.003967972,1,4.9884598732,2.01154031754
3,1.494177803,725.872283226,-1399.53530044,2.011133297,1,4.98953561783,2.01048755646
4,1.992368207,725.659932399,-1399.08463337,2.018040335,1,4.98931369781,2.01076440811
5,2.490615224,725.444449403,-1398.63539271,2.024742746,1,4.98849363327,2.01157808304
6,2.988893440,725.225946592,-1398.18757835,2.031334198,1,4.98887214661,2.01113290787
7,3.487167646,725.004498585,-1397.74121755,2.037945351,1,4.98992233276,2.01008148193
8,3.985392265,724.78012681,-1397.2963748,2.044744473,1,4.99084625244,2.00920181274
9,4.483512835,724.552783193,-1396.85316042,2.051930189,1,4.98983612061,2.01040668488
10,4.981469674,724.322336432,-1396.41173624,2.059717261,1,4.9872792244,2.01298971176
11,5.479201245,724.088565094,-1395.97231881,2.068323644,1,4.98592605591,2.0141907692
12,5.976645547,723.851157765,-1395.535182,2.077963605,1,4.98502140045,2.01514892578
13,6.473740556,723.609717203,-1395.10065938,2.08884385,1,4.98438215256,2.01587610245
14,6.970426422,723.363765915,-1394.66914483,2.101154671,1,4.9819067955,2.01882095337
15,7.466651150,723.112754363,-1394.24108854,2.115050925,1,4.97796907425,2.02301521301
16,7.962377254,722.856077036,-1393.81698818,2.130631297,1,4.9739865303,2.02663583755
17,8.457582530,722.593100072,-1393.39737957,2.147939217,1,4.97317285538,2.02743377686
18,8.952250358,722.323193556,-1392.98283557,2.166999272,1,4.97043142319,2.03070001602
19,9.446355507,722.04575126,-1392.57397658,2.187864453,1,4.96712265015,2.03409986496
20,9.939858992,721.760187206,-1392.17148576,2.210627222,1,4.96458044052,2.03632974625
21,10.432717800,721.465921028,-1391.77611603,2.235381977,1,4.96267080307,2.03906240463
22,10.924898418,721.162376988,-1391.38868504,2.262184083,1,4.95889892578,2.04320249557
23,11.416376912,720.849006923,-1391.01006872,2.291059165,1,4.95455703735,2.04828987122
24,11.907119838,720.525321599,-1390.64121044,2.322066862,1,4.95056362152,2.05128307343
25,12.397056125,720.190906843,-1390.28315411,2.355377116,1,4.94959716797,2.05183973312
26,12.886055723,719.845414654,-1389.93709667,2.391315391,1,4.94853773117,2.05511798859
27,13.373927071,719.488536837,-1389.60444569,2.430352729,1,4.94416790009,2.06108608246
