s,x,y,z,yaw,curvature,left_offset,right_offset,target_velocity,target_acceleration
0.000000000,726.489308372,-1400.896095665,650.931256670,1.988976637,0.015116378,1.500000000,1.500000000,3.626534490,0.000000000
0.498008612,726.287067951,-1400.441000741,650.880447824,1.996550236,0.015207099,1.500000000,1.500000000,3.626534490,0.000000000
0.996058646,726.081369548,-1399.987412818,650.829841473,2.003967972,0.014892488,1.500000000,1.500000000,3.626534490,0.000000000
1.494177803,725.872283226,-1399.535300437,650.780011338,2.011133297,0.014383701,1.500000000,1.500000000,3.626534490,0.000000000
1.992368207,725.659932399,-1399.084633371,650.730930160,2.018040335,0.013863438,1.500000000,1.500000000,3.626534490,-0.366577621
2.490615224,725.444449403,-1398.635392714,650.682889113,2.024742746,0.013451537,1.500000000,1.500000000,3.575815990,-1.227420388
2.988893440,725.225946592,-1398.187578352,650.634845877,2.031334198,0.013228486,1.500000000,1.500000000,3.400480306,-1.250703806
3.487167646,725.004498585,-1397.741217551,650.585756895,2.037945351,0.013268739,1.500000000,1.500000000,3.211989947,-1.187240124
3.985392265,724.780126810,-1397.296374795,650.536351856,2.044744473,0.013648098,1.500000000,1.500000000,3.022226812,-1.072487024
4.483512835,724.552783193,-1396.853160421,650.487683496,2.051930189,0.014427995,1.500000000,1.500000000,2.839964649,-0.930885138
4.981469674,724.322336432,-1396.411736243,650.439302825,2.059717261,0.015641546,1.500000000,1.500000000,2.671763082,-0.781673193
5.479201245,724.088565094,-1395.972318813,650.390716719,2.068323644,0.017296151,1.500000000,1.500000000,2.521941933,-0.644221088
5.976645547,723.851157765,-1395.535181999,650.343188381,2.077963605,0.019385707,1.500000000,1.500000000,2.391498044,-0.534619302
6.473740556,723.609717203,-1395.100659384,650.297618932,2.088843850,0.021896560,1.500000000,1.500000000,2.277663215,-0.457409999
6.970426422,723.363765915,-1394.669144827,650.254772966,2.101154671,0.024797285,1.500000000,1.500000000,2.175631301,-0.403095330
7.466651150,723.112754363,-1394.241088544,650.213550455,2.115050925,0.028017805,1.500000000,1.500000000,2.081662753,-0.357077702
7.962377254,722.856077036,-1393.816988178,650.175213612,2.130631297,0.031445596,1.500000000,1.500000000,1.994816869,-0.312095769
8.457582530,722.593100072,-1393.397379572,650.138342451,2.147939217,0.034969541,1.500000000,1.500000000,1.915774360,-0.271344053
8.952250358,722.323193556,-1392.982835566,650.101252656,2.166999272,0.038552361,1.500000000,1.500000000,1.844380940,-0.241768649
9.446355507,722.045751260,-1392.573976582,650.062515993,2.187864453,0.042253180,1.500000000,1.500000000,1.778432676,-0.226791147
9.939858992,721.760187206,-1392.171485760,650.023482690,2.210627222,0.046153990,1.500000000,1.500000000,1.714344872,-0.223837991
10.432717800,721.465921028,-1391.776116034,649.984713517,2.235381977,0.050260167,1.500000000,1.500000000,1.648738090,-0.225677382
10.924898418,721.162376988,-1391.388685038,649.945698303,2.262184083,0.054493071,1.500000000,1.500000000,1.579933297,-0.223485337
11.416376912,720.849006923,-1391.010068724,649.906269068,2.291059165,0.058793423,1.500000000,1.500000000,1.508811701,-0.210853728
11.907119838,720.525321599,-1390.641210444,649.866817706,2.322066862,0.063234653,1.500000000,1.500000000,1.438597511,-0.186998453
12.397056125,720.190906843,-1390.283154114,649.827392844,2.355377116,0.068050859,1.500000000,1.500000000,1.373436618,-0.156496992
12.886055723,719.845414654,-1389.937096670,649.786249783,2.391315391,0.073574387,1.500000000,1.500000000,1.316538724,-0.125952805
13.373927071,719.488536837,-1389.604445688,649.743165296,2.430352729,0.080122131,1.500000000,1.500000000,1.269006179,-0.100799644
13.860439683,719.119977715,-1389.286863108,649.698329186,2.473028416,0.087853670,1.500000000,1.500000000,1.229754482,-0.083813890
14.345370812,718.739446222,-1388.986273714,649.650027478,2.519811773,0.096638768,1.500000000,1.500000000,1.196247532,-0.074497817
